service_id,date,exception_type
8038,2020-01-12,1
8039,2020-01-12,2
8042,2020-01-11,1
8043,2020-01-11,2
567,2020-01-21,1
1755,2020-01-10,1
8052,2020-01-11,2
8052,2020-01-10,2
8053,2020-01-11,2
8055,2020-01-11,1
8057,2020-01-11,2
8061,2020-01-21,1
8063,2020-01-20,1
8063,2020-01-20,1
8063,2020-01-10,1
8063,2020-01-10,1
8063,2020-01-20,1
8063,2020-01-20,1
8065,2020-01-11,1
8065,2020-01-11,1
8066,2020-01-11,2
437,2020-01-11,1
8076,2020-01-13,1
8076,2020-01-20,1
8076,2020-01-20,1
8076,2020-01-21,1
8080,2020-01-11,2
8085,2020-01-11,2
8086,2020-01-10,1
8099,2020-01-11,2
8102,2020-01-11,1
2909,2020-01-11,2
8112,2020-01-10,2
238,2020-01-10,1
8114,2020-01-11,1
8115,2020-01-10,1
8118,2020-01-11,1
8121,2020-01-11,2
6036,2020-01-11,1
6036,2020-01-10,1
8124,2020-01-11,2
191,2020-01-10,1
8134,2020-01-10,1
8140,2020-01-11,1
8140,2020-01-10,1
8140,2020-01-10,2
8141,2020-01-12,1
8144,2020-01-10,1
8144,2020-01-10,2
8153,2020-01-21,1
8153,2020-01-21,1
8153,2020-01-22,1
8153,2020-01-22,1
8153,2020-01-22,1
8153,2020-01-23,1
8153,2021-10-10,1
8153,2021-10-10,1
326,2020-01-21,1
326,2020-01-22,1
326,2020-01-23,1
564,2020-01-21,1
410,2020-01-21,1
410,2020-01-21,1
410,2020-01-21,1
410,2020-01-22,1
410,2020-01-22,1
410,2020-01-22,1
410,2020-01-23,1
8158,2020-01-21,1
8158,2020-01-21,1
8158,2020-01-21,1
8158,2020-01-22,1
8158,2020-01-22,1
8158,2020-01-22,1
8158,2020-01-23,1
8159,2020-01-22,2
8159,2020-01-23,2
1591,2020-01-21,1
8161,2020-01-22,1
8161,2020-01-23,1
8163,2020-01-21,1
8163,2020-01-21,2
1824,2020-01-22,2
8164,2020-01-22,2
8164,2020-01-23,2
1593,2020-01-22,2
8167,2020-01-22,2
8167,2021-10-10,2
8168,2020-01-21,1
8168,2020-01-22,1
8168,2020-01-23,1
8170,2020-01-21,1
8170,2020-01-22,1
8170,2020-01-23,1
8171,2020-01-21,1
8171,2020-01-21,2
8172,2020-01-22,1
8172,2021-10-10,1
8172,2020-01-22,2
8172,2020-01-23,2
8174,2020-01-22,1
8174,2021-10-10,1
8175,2020-01-21,1
