service_id,date,exception_type
7863,2021-01-21,1
7867,2021-01-22,2
7867,2022-10-10,2
7868,2021-01-22,1
7868,2022-10-10,1
309,2021-01-22,2
309,2022-10-10,2
332,2021-01-22,2
332,2022-10-10,2
7871,2021-01-21,1
333,2021-01-22,1
333,2022-10-10,1
4229,2021-01-22,1
4229,2022-10-10,1
4229,2022-10-13,2
548,2021-01-22,2
548,2022-10-10,2
3703,2021-01-20,1
6619,2022-10-20,1
1408,2021-01-20,1
6621,2022-10-20,2
6621,2022-10-20,2
6620,2022-10-20,2
6620,2022-10-20,2
4650,2021-01-21,1
74,2021-01-20,1
4652,2021-01-22,2
4652,2021-01-23,2
4651,2021-01-12,2
4651,2021-01-12,2
4651,2021-01-12,2
6634,2022-10-13,2
402,2021-01-22,2
402,2022-10-10,2
1350,2022-10-20,2
6627,2022-10-20,1
6627,2021-01-22,1
6627,2022-10-10,1
6638,2021-01-21,1
6638,2021-01-21,1
6638,2021-01-21,1
6638,2021-01-21,1
6638,2022-10-10,1
6638,2022-10-10,1
6638,2022-10-10,1
6638,2022-10-10,1
6638,2022-10-10,1
6638,2022-10-11,1
6638,2022-10-11,1
6638,2022-10-11,1
6638,2022-10-11,1
6638,2022-10-11,1
6638,2021-01-22,1
6638,2021-01-22,1
6638,2021-01-22,1
6638,2021-01-22,1
6638,2021-01-22,1
6638,2021-01-22,1
6638,2021-01-23,1
6638,2021-01-23,1
6637,2021-01-21,1
7872,2021-01-12,1
6639,2022-10-20,2
6639,2022-10-20,2
6639,2022-10-20,2
6639,2022-10-20,2
6639,2022-10-20,2
6639,2022-10-21,2
6639,2022-10-21,2
6639,2022-10-21,2
7873,2021-01-12,1
6625,2022-10-20,2
6625,2022-10-20,2
7875,2021-01-12,1
5137,2022-10-20,1
5139,2022-10-20,2
5139,2022-10-13,2
3621,2021-01-22,2
3621,2022-10-10,2
6612,2022-10-13,2
6612,2022-10-20,2
1640,2022-10-20,1
4734,2022-10-13,2
1639,2022-10-13,2
1639,2022-10-20,2
3445,2022-10-20,2
4732,2021-01-21,1
4732,2021-01-21,1
4732,2021-01-21,1
4732,2021-01-21,1
4732,2021-01-21,1
4732,2021-01-21,1
4732,2021-01-22,1
4732,2022-10-20,1
4732,2022-10-21,1
4732,2022-10-21,1
4732,2022-10-21,1
4732,2022-10-21,1
4732,2022-10-21,1
4732,2022-10-21,1
4732,2022-10-21,1
4732,2021-01-22,1
4732,2021-01-22,1
4732,2021-01-22,1
4732,2021-01-22,1
4732,2021-01-22,1
4732,2021-01-22,1
4732,2021-01-22,1
4732,2021-01-23,1
4732,2021-01-23,1
4732,2022-10-10,1
4732,2022-10-20,1
4732,2022-10-20,1
4732,2022-10-20,1
4732,2022-10-20,1
4732,2022-10-20,1
4732,2022-10-20,2
390,2022-10-20,1
3202,2021-01-12,2
3622,2021-01-12,2
4733,2022-10-20,1
570,2021-01-21,1
2273,2021-01-20,1
530,2022-10-20,1
7876,2021-01-22,2
7876,2022-10-10,2
1981,2021-01-22,1
1981,2022-10-10,1
3738,2022-10-20,2
6648,2022-10-20,2
6648,2021-01-22,2
6648,2022-10-10,2
6666,2021-01-22,1
6666,2022-10-10,1
4735,2022-10-13,1
6616,2021-01-20,2
4879,2022-10-10,2
4879,2021-01-22,2
4879,2021-01-22,2
4879,2021-01-22,2
4879,2021-01-22,2
6615,2022-10-13,2
6615,2022-10-20,2
6615,2022-10-20,2
6615,2022-10-20,2
6615,2022-10-20,2
6615,2022-10-20,2
6615,2022-10-20,2
6615,2022-10-20,2
6615,2022-10-21,2
6615,2022-10-21,2
6615,2022-10-21,2
6617,2021-01-20,1
2372,2021-01-20,1
2372,2021-01-20,1
2372,2021-01-21,1
7094,2021-01-12,1
1288,2021-01-22,2
1288,2022-10-10,2
2313,2021-01-22,2
2313,2021-01-23,2
812,2021-01-12,1
1309,2021-01-12,1
327,2021-01-20,2
2909,2022-10-21,1
346,2021-01-22,2
346,2021-01-23,2
334,2021-01-22,1
334,2021-01-23,1
334,2021-01-22,2
334,2022-10-10,2
405,2021-01-22,1
405,2022-10-10,1
1243,2021-01-22,1
1243,2022-10-10,1
2459,2021-01-21,1
2459,2021-01-21,1
2459,2021-01-21,1
2459,2021-01-21,1
2459,2021-01-21,1
2459,2022-10-10,1
2459,2022-10-10,1
2459,2022-10-10,1
2459,2022-10-10,1
2459,2022-10-10,1
2459,2021-01-22,1
2459,2021-01-22,1
2459,2021-01-22,1
2459,2021-01-22,1
2459,2021-01-22,1
2459,2021-01-22,1
2459,2021-01-23,1
