service_id,date,exception_type
4508,2020-01-20,2
2134,2020-01-20,2
2134,2020-01-20,2
4392,2020-01-20,2
4392,2020-01-20,2
4392,2020-01-20,2
1602,2020-01-12,1
7600,2020-01-20,2
7600,2020-01-20,2
2335,2020-01-21,1
2174,2020-01-22,2
2174,2021-10-10,2
2374,2020-01-22,1
2374,2021-10-10,1
3863,2020-01-22,2
3863,2020-01-22,2
3863,2020-01-22,2
3863,2020-01-22,2
3863,2020-01-22,2
3863,2020-01-22,2
3863,2020-01-22,2
3863,2020-01-23,2
3863,2020-01-23,2
3863,2021-10-10,2
168,2020-01-20,1
201,2020-01-22,2
201,2020-01-22,2
201,2020-01-22,2
201,2020-01-22,2
201,2020-01-22,2
201,2020-01-22,2
201,2020-01-22,2
201,2020-01-23,2
201,2020-01-23,2
201,2021-10-10,2
15,2020-01-20,1
6654,2020-01-12,1
6654,2020-01-12,2
7534,2020-01-12,1
1123,2020-01-12,1
5374,2020-01-12,1
84,2020-01-12,1
7192,2020-01-12,1
75,2020-01-12,1
7360,2020-01-13,2
7360,2020-01-20,2
7360,2020-01-20,2
7360,2020-01-20,2
299,2020-01-12,1
1048,2020-01-12,1
1851,2021-10-20,1
2973,2021-10-10,2
2973,2020-01-22,2
2973,2020-01-22,2
2973,2020-01-22,2
2973,2020-01-22,2
2973,2020-01-22,2
2470,2020-01-21,2
2470,2020-01-22,2
2470,2020-01-22,2
2470,2020-01-22,2
2470,2020-01-22,2
2470,2020-01-22,2
2470,2020-01-22,2
2470,2020-01-22,2
2470,2020-01-23,2
2470,2020-01-23,2
2470,2021-10-10,2
7102,2020-01-21,2
7102,2020-01-22,2
7102,2020-01-22,2
7102,2020-01-22,2
7102,2020-01-22,2
7102,2020-01-22,2
7102,2020-01-22,2
7102,2020-01-22,2
7102,2020-01-23,2
7102,2020-01-23,2
7102,2021-10-10,2
1283,2020-01-12,1
276,2020-01-12,1
83,2020-01-12,1
822,2021-10-21,1
821,2020-01-12,1
821,2020-01-21,1
779,2020-01-22,2
779,2020-01-22,2
779,2020-01-22,2
779,2020-01-22,2
779,2020-01-22,2
779,2020-01-22,2
779,2020-01-22,2
779,2020-01-23,2
779,2020-01-23,2
779,2021-10-10,2
823,2020-01-12,1
823,2020-01-21,1
292,2020-01-22,2
292,2020-01-22,2
292,2020-01-22,2
292,2020-01-22,2
292,2020-01-22,2
292,2020-01-22,2
292,2020-01-22,2
292,2020-01-23,2
292,2020-01-23,2
292,2021-10-10,2
379,2020-01-22,2
379,2020-01-22,2
379,2020-01-22,2
379,2020-01-22,2
379,2020-01-22,2
379,2020-01-23,2
379,2020-01-23,2
379,2021-10-10,2
7437,2020-01-22,1
7437,2020-01-22,1
7437,2020-01-22,1
7437,2020-01-22,1
7437,2020-01-22,1
7437,2020-01-22,1
7437,2020-01-23,1
7437,2020-01-23,1
1593,2020-01-22,2
1593,2021-10-10,2
371,2020-01-22,2
371,2020-01-22,2
293,2020-01-22,2
293,2020-01-23,2
297,2020-01-22,2
297,2020-01-22,2
297,2020-01-22,2
297,2020-01-22,2
297,2020-01-22,2
297,2020-01-22,2
297,2020-01-23,2
297,2021-10-10,2
367,2020-01-22,2
367,2021-10-10,2
3539,2020-01-22,2
3539,2020-01-22,2
3539,2021-10-10,2
1725,2020-01-22,2
1725,2021-10-10,2
3236,2020-01-22,1
3236,2020-01-22,1
3236,2020-01-22,1
3236,2020-01-22,1
3236,2020-01-22,1
3236,2020-01-22,1
3236,2020-01-23,1
3236,2021-10-10,1
3236,2020-01-21,1
431,2020-01-22,2
431,2021-10-10,2
4653,2020-01-22,2
4653,2020-01-22,2
4653,2021-10-10,2
3238,2020-01-21,2
3238,2020-01-22,2
3238,2020-01-22,2
3238,2020-01-22,2
3238,2020-01-22,2
3238,2020-01-22,2
3238,2020-01-22,2
3238,2020-01-22,2
3238,2020-01-23,2
3238,2021-10-10,2
3238,2021-10-10,2
352,2020-01-22,2
352,2020-01-23,2
335,2020-01-22,2
